fecha,positivo,positivo_rapida,positivo_molecular,positivo_antigenica,muestra,muestra_rapida,muestra_molecular,muestra_antigenica,sintomaticos,defunciones,inicio,inicio_molecular,inicio_rapida,inicio_antigenica,recuperado,total_positivo,total_positivo_rapida,total_positivo_molecular,total_positivo_antigenica,total_muestra,total_muestra_rapida,total_muestra_molecular,total_muestra_antigenica,total_recuperado,total_sintomaticos,total_defunciones,total_inicio,total_inicio_molecular,total_inicio_rapida,total_inicio_antigenica,posi,posi_rapida,posi_molecular,posi_antigenica,dias,primera_ola_positivo,segunda_ola_positivo,primera_ola_defunciones,segunda_ola_defunciones,primera_ola_tasamolecular,segunda_ola_tasamolecular
2020-03-06,,,,,,,,,,,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,1,,97,1,4,.23357664,.20408164
2020-03-08,,,,,,,,,,,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,,,,,2,,117,3,2,.24285714,.33333334
2020-03-10,,,,,,,,,,,2,2,2,0,,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,,,,,3,,111,0,5,.23728813,.31325302
2020-03-13,1,0,1,0,3,0,3,0,1,0,,,,,,1,0,1,0,3,0,3,0,0,1,0,4,4,4,0,.33333334,,.33333334,,4,0,110,5,5,.12931034,.21052632
2020-03-14,0,0,0,0,1,1,0,0,0,0,1,1,1,0,,1,0,1,0,4,1,3,0,0,1,0,5,5,5,0,0,0,,,5,0,218,7,8,.12578617,
2020-03-15,0,0,0,0,18,3,15,0,0,0,3,3,3,0,,1,0,1,0,22,4,18,0,0,1,0,8,8,8,0,0,0,0,,6,0,159,1,6,.064864866,.32692307
2020-03-16,0,0,0,0,2,0,2,0,0,0,2,2,2,0,,1,0,1,0,24,4,20,0,0,1,0,10,10,10,0,0,,0,,7,0,32,2,7,,
2020-03-17,0,0,0,0,1,0,1,0,0,0,1,1,1,0,,1,0,1,0,25,4,21,0,0,1,0,11,11,11,0,0,,0,,8,0,108,2,12,.12254902,.25925925
2020-03-18,3,0,3,0,14,0,14,0,3,0,4,4,4,0,,4,0,4,0,39,4,35,0,0,4,0,15,15,15,0,.21428572,,.21428572,,9,0,217,2,9,.11981567,.41772151
2020-03-19,0,0,0,0,3,2,1,0,0,0,2,2,2,0,,4,0,4,0,42,6,36,0,0,4,0,17,17,17,0,0,0,0,,10,0,318,3,10,.1392405,.40000001
2020-03-20,1,1,0,0,14,2,12,0,0,0,5,5,5,0,,5,1,4,0,56,8,48,0,0,4,0,22,22,22,0,.071428575,.5,0,,11,0,200,2,3,.19008264,.37383178
2020-03-21,0,0,0,0,11,0,11,0,0,0,3,3,3,0,,5,1,4,0,67,8,59,0,0,4,0,25,25,25,0,0,,0,,12,0,284,1,11,.17094018,0
2020-03-22,3,1,2,0,5,1,4,0,2,0,3,3,3,0,,8,2,6,0,72,9,63,0,0,6,0,28,28,28,0,.60000002,1,.5,,13,0,317,2,8,.09259259,0
2020-03-23,0,0,0,0,17,0,17,0,0,0,2,2,2,0,,8,2,6,0,89,9,80,0,0,6,0,30,30,30,0,0,,0,,14,0,45,5,12,,1
2020-03-24,4,0,4,0,13,0,12,0,4,1,7,7,7,0,,12,2,10,0,102,9,92,0,0,10,1,37,37,37,0,.30769232,,.33333334,,15,0,129,3,14,.25,.22727273
2020-03-25,1,1,0,0,2,2,0,0,0,0,6,6,6,0,,13,3,10,0,104,11,92,0,0,10,1,43,43,43,0,.5,.5,,,16,0,63,2,12,.1559633,.25
